step,phase,x,y,z
143,warmup,-10.803678,-2.862548,37.315922
144,warmup,-10.009565,-1.827461,36.630091
145,warmup,-9.191354,-0.945351,35.836210
146,warmup,-8.366754,-0.215644,34.967468
147,warmup,-7.551643,0.369463,34.053045
148,warmup,-6.759532,0.822873,33.117063
149,warmup,-6.001292,1.160534,32.178319
150,warmup,-5.285109,1.399681,31.250583
151,warmup,-4.616630,1.557482,30.343260
152,warmup,-3.999219,1.650086,29.462203
153,warmup,-3.434288,1.692062,28.610554
154,warmup,-2.921653,1.696110,27.789495
155,warmup,-2.459877,1.672998,26.998888
156,warmup,-2.046590,1.631642,26.237764
157,warmup,-1.678766,1.579260,25.504697
158,warmup,-1.352964,1.521577,24.798059
159,warmup,-1.065510,1.463040,24.116191
160,warmup,-0.812655,1.407028,23.457504
161,warmup,-0.590686,1.356043,22.820536
162,warmup,-0.396014,1.311888,22.203979
163,warmup,-0.225223,1.275816,21.606678
164,warmup,-0.075119,1.248658,21.027626
165,warmup,0.057258,1.230934,20.465951
166,warmup,0.174626,1.222939,19.920897
167,warmup,0.279457,1.224818,19.391809
168,warmup,0.373993,1.236626,18.878117
169,warmup,0.460256,1.258375,18.379325
170,warmup,0.540068,1.290071,17.895002
171,warmup,0.615068,1.331744,17.424769
172,warmup,0.686736,1.383471,16.968300
173,warmup,0.756410,1.445395,16.525313
174,warmup,0.825308,1.517737,16.095571
175,warmup,0.894551,1.600808,15.678881
176,warmup,0.965177,1.695018,15.275098
177,warmup,1.038161,1.800886,14.884122
178,warmup,1.114433,1.919041,14.505908
179,warmup,1.194894,2.050233,14.140470
180,warmup,1.280428,2.195338,13.787889
181,warmup,1.371919,2.355360,13.448322
182,warmup,1.470263,2.531444,13.122014
183,warmup,1.576381,2.724875,12.809312
184,warmup,1.691231,2.937089,12.510685
185,warmup,1.815816,3.169678,12.226740
186,warmup,1.951203,3.424395,11.958249
187,warmup,2.098522,3.703158,11.706179
188,warmup,2.258985,4.008056,11.471726
189,warmup,2.433892,4.341347,11.256354
190,warmup,2.624638,4.705456,11.061849
191,warmup,2.832720,5.102966,10.890367
192,warmup,3.059744,5.536604,10.744510
193,warmup,3.307430,6.009212,10.627396
194,warmup,3.577608,6.523707,10.542749
195,warmup,3.872218,7.083022,10.495002
196,warmup,4.193299,7.690023,10.489405
197,warmup,4.542971,8.347395,10.532153
198,warmup,4.923414,9.057480,10.630516
199,warmup,5.336820,9.822077,10.792972
200,warmup,5.785346,10.642164,11.029346
201,warmup,6.271028,11.517553,11.350917
202,warmup,6.795680,12.446447,11.770494
203,warmup,7.360757,13.424887,12.302435
204,warmup,7.967170,14.446098,12.962544
205,warmup,8.615063,15.499697,13.767821
206,warmup,9.303526,16.570811,14.735988
207,warmup,10.030255,17.639124,15.884698
208,warmup,10.791142,18.677928,17.230355
209,warmup,11.579820,19.653316,18.786440
210,warmup,12.387170,20.523697,20.561287
211,warmup,13.200823,21.239906,22.555291
212,warmup,14.004731,21.746253,24.757659
213,warmup,14.778883,21.982872,27.142959
214,warmup,15.499282,21.889704,29.667970
215,warmup,16.138324,21.412284,32.269571
216,warmup,16.665720,20.509124,34.864633
217,warmup,17.050060,19.159992,37.352903
218,warmup,17.261054,17.373716,39.623615
219,warmup,17.272320,15.193621,41.565872
220,warmup,17.064450,12.698544,43.081740
221,warmup,16.627859,9.997942,44.099830
222,warmup,15.964868,7.220906,44.586278
223,warmup,15.090471,4.500719,44.550119
224,warmup,14.031496,1.958221,44.041295
225,warmup,12.824169,-0.312195,43.141629
226,warmup,11.510532,-2.250861,41.951149
227,warmup,10.134393,-3.834204,40.573366
228,warmup,8.737533,-5.070096,39.102836
229,warmup,7.356771,-5.989509,37.617092
230,warmup,6.022143,-6.637121,36.173335
231,warmup,4.756216,-7.062960,34.809016
232,warmup,3.574299,-7.316182,33.544846
233,warmup,2.485251,-7.441209,32.388815
234,warmup,1.492605,-7.475870,31.340180
235,warmup,0.595757,-7.450967,30.392857
236,warmup,-0.208915,-7.390713,29.537991
237,warmup,-0.927095,-7.313593,28.765752
238,warmup,-1.565745,-7.233358,28.066469
239,warmup,-2.132506,-7.159984,27.431286
240,warmup,-2.635254,-7.100512,26.852472
241,warmup,-3.081780,-7.059747,26.323522
242,warmup,-3.479576,-7.040815,25.839128
243,warmup,-3.835700,-7.045596,25.395075
244,warmup,-4.156690,-7.075057,24.988121
245,warmup,-4.448527,-7.129501,24.615859
246,warmup,-4.716624,-7.208750,24.276594
247,warmup,-4.965837,-7.312282,23.969228
248,warmup,-5.200481,-7.439320,23.693164
249,warmup,-5.424365,-7.588903,23.448227
250,warmup,-5.640819,-7.759919,23.234591
251,warmup,-5.852729,-7.951128,23.052725
252,warmup,-6.062569,-8.161167,22.903343
253,warmup,-6.272429,-8.388544,22.787364
254,warmup,-6.484040,-8.631618,22.705866
255,warmup,-6.698798,-8.888575,22.660054
256,warmup,-6.917776,-9.157402,22.651214
257,warmup,-7.141738,-9.435845,22.680670
258,warmup,-7.371149,-9.721379,22.749735
259,warmup,-7.606172,-10.011170,22.859653
260,warmup,-7.846672,-10.302042,23.011529
261,warmup,-8.092209,-10.590450,23.206256
262,warmup,-8.342033,-10.872466,23.444423
263,warmup,-8.595076,-11.143769,23.726223
264,warmup,-8.849945,-11.399665,24.051340
265,warmup,-9.104917,-11.635123,24.418835
266,warmup,-9.357938,-11.844834,24.827034
267,warmup,-9.606628,-12.023310,25.273412
268,warmup,-9.848296,-12.165010,25.754489
269,warmup,-10.079967,-12.264504,26.265749
270,warmup,-10.298421,-12.316671,26.801587
271,warmup,-10.500246,-12.316922,27.355300
