timestamp_utc,profile,coord_x,coord_y,nbytes,dt,warmup,quant_k,size,scale,seed_strategy,memory_type,keystream_sha256,field_fingerprint,token_fingerprint,bit_ones_ratio,bit_ones_count,byte_chi2,byte_chi2_norm,byte_entropy_approx,byte_top5,runs_count,runs_expected,runs_norm_diff,hw_win_mean,hw_win_std,hw_win_min,hw_win_max,keystream_preview_base64,autocorr_lag_1,autocorr_lag_2,autocorr_lag_3,autocorr_lag_4,autocorr_lag_5,autocorr_lag_6,autocorr_lag_7,autocorr_lag_8,autocorr_lag_9,autocorr_lag_10,autocorr_lag_11,autocorr_lag_12,autocorr_lag_13,autocorr_lag_14,autocorr_lag_15,autocorr_lag_16,autocorr_lag_17,autocorr_lag_18,autocorr_lag_19,autocorr_lag_20,autocorr_lag_21,autocorr_lag_22,autocorr_lag_23,autocorr_lag_24,autocorr_lag_25,autocorr_lag_26,autocorr_lag_27,autocorr_lag_28,autocorr_lag_29,autocorr_lag_30,autocorr_lag_31,autocorr_lag_32
2025-12-20T17:17:16.646294+00:00,alice,12,34,1048576,0.01,5000,100000.0,128,0.1,window_mean_3x3,opensimplex,a77608ec1121bd678cc072bf3694a7611a8e68ee862e5f37e102853e73888a5e,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,0.500325083732605,4197031,230.8037109375,0.9051125919117647,7.999841477210289,f7:4268|d7:4258|23:4254|21:4251|90:4249,4193463,4194303.2269933224,-0.00010016286293534904,512.3328857421875,16.28950734022781,451.0,569.0,,0.00020020647001603827,-0.00013632155306061023,-0.00017458793618059274,0.0003252570436808418,-6.515373861113637e-05,0.00013762148585018757,-0.00015980604914431524,-5.1682938790756956e-05,-0.0003009499422568672,0.00017886818707379485,0.0004638979588972017,8.254679014388972e-05,0.0003151247376049601,5.63208661792401e-05,0.00019973012024166462,0.0003886773081982719,0.00040500906715122887,-0.0005030102203476837,-0.0001624284247355569,0.0003803329746541269,-0.0002773467099649801,0.0002604081547340944,0.0002714946847386425,0.00016933186541982027,0.00044601758815003827,0.0006192293490655297,-0.00013763295752648012,-0.0007688485358898047,7.803062083036736e-06,0.00019031337013488374,0.0006222105824669784,-6.859274986667392e-06
2025-12-20T17:17:18.841241+00:00,alice,12,34,1048576,0.01,5000,100000.0,128,0.1,window_mean_3x3,perlin,aacea544bd8f862cd02ab9c02551b45321dc2e1bef15427d657bc3953f98009d,3c0bf62b9eb2dac6d22a7ffc6ea8d7f78ebd05434392fec7aa49b43848145644,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,0.5002366304397583,4196289,269.3759765625,1.0563763786764706,7.999814631675861,fa:4290|8e:4254|ff:4250|36:4228|d7:4228,4194444,4194304.060577154,1.6682079177599007e-05,512.2423095703125,16.063518387520134,447.0,572.0,,-3.3483379162446385e-05,0.00027681865383611266,0.00040687621018479836,-0.00046800133047714853,-0.00014911638808706498,-0.0004985191617332287,-0.0002678488889222774,0.00022532049077343775,4.902142541877964e-06,1.8849649727625578e-05,-0.00020729060468376845,-1.285984364674868e-05,-0.0004294970511743055,-0.00036643526885867206,0.0006300372566384358,-0.0006074768278180108,0.00021280406720684312,-0.0003883697792834996,8.048147714395197e-05,-2.3826913698633235e-05,6.832211558156485e-05,-0.0002364967845389432,0.00012864243689583084,0.0006461315745974843,-3.682066939561461e-05,-0.0002517557371905305,-0.0002313707957037477,0.0004167723925548434,0.00013507985408001247,0.00021578486588148457,-0.00022207243227297682,0.0005765136843213347
2025-12-20T17:17:21.145772+00:00,alice,12,34,1048576,0.01,5000,10000000.0,128,0.1,neighborhood3,opensimplex,0f107415bf46cf117a574364307f940ef3f691f9ae662bcdfefe0ca8c4740c79,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,0.500049352645874,4194718,283.74951171875,1.1127431832107844,7.9998046648765655,59:4264|d8:4249|c9:4243|99:4241|2d:4240,4197686,4194304.959136009,0.00040305147933850094,512.050537109375,15.791716353062323,456.0,577.0,,-0.0008062222719317071,-0.00021220235433092247,0.00027643665421850697,-0.0003213981908204176,0.000138869116645291,-0.0006010634634930659,-0.0003444057180712844,0.0003416443396550814,-0.0009971966000281787,-0.00038934779741748665,0.00015532011965577544,2.9315714103490028e-05,3.3964863606517985e-05,-4.6978375827908836e-05,1.2268741996739514e-05,-0.00016857207194559358,-0.00028837769553408994,-0.00047494069373109365,-0.0008159992800337263,9.288533463672159e-06,5.780686088337576e-05,-0.0006060713897597704,-2.751587525323383e-06,9.130481161494718e-05,0.00012527957160382114,-0.0001528365742323353,0.00010692126454546472,-0.0008418686344160882,0.00043260217462923574,0.0004522718295099537,-0.0006588820450936328,-0.00038577257325486024
2025-12-20T17:17:23.227094+00:00,alice,12,34,1048576,0.01,5000,10000000.0,128,0.1,neighborhood3,perlin,5a8ae8094938263242f89dfa257213977b5ceee803fb0714e27f781480b7c91c,3c0bf62b9eb2dac6d22a7ffc6ea8d7f78ebd05434392fec7aa49b43848145644,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,0.500031590461731,4194569,284.3623046875,1.115146292892157,7.999804294467952,0f:4266|71:4262|20:4254|18:4247|2c:4239,4191194,4194304.983257055,-0.0003708581038779357,512.0323486328125,16.186868154039793,448.0,576.0,,0.0007415970898314356,0.00013470253801563869,-0.0005649370042405113,0.00011205282435199926,0.0001848897422662208,-0.00048566298677374744,-0.0003489298598466833,-7.296011678239607e-05,-0.0005062863596358699,0.0006868807862523784,0.0004318918623999475,-2.5037933366943915e-05,0.0006498069003097111,4.052727960100465e-05,0.00025760778974047725,0.00019144653829188284,-0.000543003378209346,0.0006179783087615522,-0.00025260903449462736,0.00020241388028242272,0.0001803601154838402,-0.00012159777150609257,-0.0004864984081997548,0.00025677359870254264,3.2301867213802825e-05,0.00030350386151285536,-7.903993021402472e-05,0.0001957383910462177,-0.0002297209975046431,-0.000364785648582523,2.3957239302718393e-05,1.3585994362690242e-05
2025-12-20T17:17:25.458822+00:00,alice,12,34,1048576,0.01,5000,10000000.0,128,0.1,window_mean_3x3,opensimplex,1ed6d7988da345441a7468162f3ddf2680d289641fa4417473bace0e6aeced57,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,0.49959421157836914,4190900,284.8857421875,1.1171989889705882,7.999803808449903,22:4274|f0:4258|31:4255|a2:4247|65:4225,4194201,4194302.2373924255,-1.2068437627021922e-05,511.58447265625,16.046439658019814,450.0,582.0,,2.4017878063667983e-05,0.0007520298587115559,0.00013345250964728073,-0.00019663817860951987,-0.00043589154644946304,-0.0003201394127981845,-6.65811070674104e-05,3.319722114665209e-05,-0.0002875955286210406,0.0002694704780766071,-6.801165342253353e-05,0.00060158831670457,0.0003165583475714555,0.00017076508476265606,-6.038227296828683e-05,2.6521514833089e-05,-0.00039941461087321986,-0.00036996968797558546,8.520675237365369e-06,0.0005181421331963431,-0.0002501639121970887,8.469605101316924e-05,0.0003151284013108845,-0.00010484736646831379,-0.0007556132587670257,-0.0002126131878661494,-0.0003252662352109076,0.00013166475891550548,5.8984564371641234e-06,8.66034878681007e-05,0.0005068180734542124,3.224363565803883e-05
2025-12-20T17:17:27.542030+00:00,alice,12,34,1048576,0.01,5000,10000000.0,128,0.1,window_mean_3x3,perlin,42acd5799babb39196739560a5004cd0ed65fc2475041abee31d456df13bcff8,3c0bf62b9eb2dac6d22a7ffc6ea8d7f78ebd05434392fec7aa49b43848145644,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,0.49978065490722656,4192464,287.92138671875,1.1291034773284314,7.9998019889466665,21:4324|0a:4265|f4:4263|00:4249|2f:4249,4192707,4194304.192810059,-0.00019040022016270086,511.775390625,15.701915060468329,459.0,566.0,,0.00038068145424735215,0.0004768835423149025,5.333265578953201e-05,0.00017194608920558278,0.0004784335393711058,-0.00021357706219356107,-0.000163389925238118,0.00017647602470698785,-0.0002671023865628946,2.6510572847948166e-05,-3.512082398260755e-05,-1.8312291086035552e-05,0.00042931926422938376,5.5835811436602904e-05,-0.0006905349174687108,-0.0001961731425750723,-7.255285840528245e-05,-9.007667361562501e-05,0.00016848890006464584,-0.00037665646103698605,0.00017897949054299032,0.00047354639096557245,-0.0005455766547582308,9.565190205590504e-05,0.0002965202036196153,8.94531259447687e-05,-0.0008836556133880763,-0.0004066976674495682,-0.0007761286525174714,0.0007789622978411727,-9.448746977791486e-05,9.875155163407425e-05
