timestamp_utc,profile,coord_x,coord_y,nbytes,dt,warmup,quant_k,size,scale,seed_strategy,memory_type,chaos_engine,perturbation_type,perturbation_target,perturbation_bit_index,perturbation_skipped,perturbation_skip_reason,token_fingerprint_base,token_fingerprint_perturbed,field_fingerprint_base,field_fingerprint_perturbed,keystream_sha256_base,keystream_sha256_perturbed,hamming_distance_bits,hamming_distance_ratio
2026-05-17T10:42:06.820181+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,coord_y_bit_flip,coord_y,2,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,3a00df4757a6576449d055a0bcf8cd63ed2765b1c51b6be789b6feeb27478e26,1049142,0.500269889831543
2026-05-17T10:42:07.425647+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,coord_y_bit_flip,coord_y,3,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,c9724f6ecce7ed634f65c0d557ee7e9afaab8994e1a8fb7603b0dccde36c10d7,1048963,0.5001845359802246
2026-05-17T10:42:08.031501+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,coord_y_bit_flip,coord_y,4,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,d5c7e6953b8af71532299d64a76de40c532b53104f268ba642038a1b67c45a5f,1049804,0.5005855560302734
2026-05-17T10:42:08.595882+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,coord_y_bit_flip,coord_y,5,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,5ad9a92673c93273fb0934d4cbb68f8a557fd0cd1f87293843ca4708fe3c1ca2,1048086,0.49976634979248047
2026-05-17T10:42:09.068908+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,coord_y_bit_flip,coord_y,6,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,84c7241e688b58eeebeff7a382292b08b966874b31a2213a77f2ed387fffad08,1047699,0.49958181381225586
2026-05-17T10:42:09.069258+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,coord_y_bit_flip,coord_y,7,True,coord_y modulo memory size unchanged,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,,
2026-05-17T10:41:59.299620+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,0,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,525071081a47d971a1f58431df26f4a7bb9639e48e19523f181769a3639c9371,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,fba12a787ee25b0d3279883926b1e0f8c8b7bcc2d1e674b907051bd23587ef14,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,003e627aac12814ab122304d94b60d5ddab6b337466f05460f0664c40934d7a7,1049029,0.500216007232666
2026-05-17T10:42:00.172615+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,1,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,d93069aa9f37b52ded5676cfeb094eaac1489c4fb85899b346b66b51eb223e4a,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,1fa3cbab9bcc26cc74d2a35160f04c48ced7461e43809a777a43c142c9ee8b80,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,3b0d01616690b23907e9e9a5ba25f0fd07bed7276341465dae4c499ce5537adc,1048456,0.4999427795410156
2026-05-17T10:42:01.091128+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,2,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,aff29e0842504889750036eec780b6ae5754e068c36e5254d82953dc8e4595b0,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,8092f67f2986dae9f95e7b0f1692c8707abe7d7b5a461a6fa2ed7996f44af30c,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,40852c5b9158dbff20a96b6293bafc5ec61202540da56ab9dcc9f018ff94683f,1049488,0.5004348754882812
2026-05-17T10:42:01.859237+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,3,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,ed43180337d99ebba8bbf3f5577059bb3690d86251f493cab0d1e2bc79a660d0,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,3019bd1bb2211cdf4d77115ea1bc9f8e8e19185e4576d1be420a97c79aea2fc5,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,2126d8966e197f5b421cd59331f891d69a3edef49b0efb777e2f26ff1adb272b,1048828,0.5001201629638672
