profile,coord_x,coord_y,nbytes,dt,warmup,quant_k,size,scale,seed_strategy,memory_type,chaos_engine,token_fingerprint,keystream_sha256,nist_alpha,nist_passed_count,nist_failed_count,nist_skipped_count,nist_total_runtime_s,nist_failed_tests,nist_frequency_monobit_status,nist_frequency_monobit_p_value,nist_frequency_monobit_skip_reason,nist_block_frequency_status,nist_block_frequency_p_value,nist_block_frequency_skip_reason,nist_runs_status,nist_runs_p_value,nist_runs_skip_reason,nist_longest_run_of_ones_status,nist_longest_run_of_ones_p_value,nist_longest_run_of_ones_skip_reason,nist_binary_matrix_rank_status,nist_binary_matrix_rank_p_value,nist_binary_matrix_rank_skip_reason,nist_discrete_fourier_transform_status,nist_discrete_fourier_transform_p_value,nist_discrete_fourier_transform_skip_reason,nist_non_overlapping_template_matching_status,nist_non_overlapping_template_matching_p_value,nist_non_overlapping_template_matching_skip_reason,nist_overlapping_template_matching_status,nist_overlapping_template_matching_p_value,nist_overlapping_template_matching_skip_reason,nist_maurers_universal_status,nist_maurers_universal_p_value,nist_maurers_universal_skip_reason,nist_linear_complexity_status,nist_linear_complexity_p_value,nist_linear_complexity_skip_reason,nist_serial_status,nist_serial_p_value,nist_serial_skip_reason,nist_approximate_entropy_status,nist_approximate_entropy_p_value,nist_approximate_entropy_skip_reason,nist_cumulative_sums_status,nist_cumulative_sums_p_value,nist_cumulative_sums_skip_reason,nist_random_excursions_status,nist_random_excursions_p_value,nist_random_excursions_skip_reason,nist_random_excursions_variant_status,nist_random_excursions_variant_p_value,nist_random_excursions_variant_skip_reason
alice,12,34,1048576,0.01,1000,100000.0,128,0.1,neighborhood3,perlin,lorenz,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,3dfa2a9120d6e39ab222e25a4bab83bc0acb478bacdfb21d499b997213ff23e6,0.01,13,2,0,23.477032306000183,"non_overlapping_template_matching,overlapping_template_matching",pass,0.7345704237781409,,pass,0.34626680494612494,,pass,0.3227197315300665,,pass,0.5948058699100698,,pass,0.9944883405906607,,pass,0.587523779851981,,fail,0.0,,fail,0.0,,pass,0.5998517788746791,,pass,0.11686833432796033,,pass,0.5088590544248675,,pass,0.6950918124572737,,pass,0.8285203588245171,,pass,0.05309288652882246,,pass,0.09786965058208816,
alice,12,34,1048576,0.01,1000,100000.0,128,0.1,neighborhood3,perlin,rossler,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,cc2290c5b58fbe2e8ba52c3162d8498d3b0e2581ea51d3081f532563ce065036,0.01,9,6,0,23.19090863400197,"block_frequency,discrete_fourier_transform,non_overlapping_template_matching,overlapping_template_matching,serial,approximate_entropy",pass,0.09402356419805158,,fail,0.0036786010912164043,,pass,0.10367096255004644,,pass,0.05246478901796423,,pass,0.3428594447478176,,fail,0.0,,fail,0.0,,fail,0.0,,pass,0.7608390217815948,,pass,0.042664967590281634,,fail,1.6875275639114748e-67,,fail,1.702229051504625e-07,,pass,0.058206175724139386,,pass,0.05637915264638978,,pass,0.07697199832185968,
alice,12,34,1048576,0.01,1000,100000.0,128,0.1,window_mean_3x3,opensimplex,lorenz,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,aedec9c276e06b6870bf0e5d01d54429b81c38655ae02d9b6fd6814fda4e166c,0.01,11,4,0,23.628263626000262,"block_frequency,non_overlapping_template_matching,overlapping_template_matching,random_excursions_variant",pass,0.07204383861592512,,fail,0.001846741428627444,,pass,0.5947431706413221,,pass,0.7573501243397978,,pass,0.5064060631720555,,pass,0.22037478723158643,,fail,0.0,,fail,0.0,,pass,0.25248889073647374,,pass,0.9509798566312081,,pass,0.12284545532163528,,pass,0.19906926928987945,,pass,0.05975217066044941,,pass,0.03298831822625717,,fail,0.0004929686425853691,
alice,12,34,1048576,0.01,1000,100000.0,128,0.1,window_mean_3x3,opensimplex,rossler,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,000c08235a66cc6934bab8bdb8dace372be0bbe5c0c86930abc2e6ee546ec3f9,0.01,7,8,0,24.048821721000422,"frequency_monobit,runs,discrete_fourier_transform,non_overlapping_template_matching,overlapping_template_matching,serial,approximate_entropy,cumulative_sums",fail,3.3432766399839175e-05,,pass,0.17550343753306935,,fail,0.0,,pass,0.7840280327521091,,pass,0.6230640910533426,,fail,0.0,,fail,0.0,,fail,0.0,,pass,0.9607942092427341,,pass,0.42061871020315217,,fail,2.567112858726829e-79,,fail,1.4902493861465582e-13,,fail,1.2075156348601013e-05,,pass,0.13547074169060108,,pass,0.32979077149770275,
alice,12,34,1048576,0.01,1000,100000.0,128,0.1,window_mean_3x3,perlin,lorenz,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,906251a32a63629653e2577725454cff63e9916f31eb45bbadc73edbcd26674d,0.01,13,2,0,23.62160912500258,"non_overlapping_template_matching,overlapping_template_matching",pass,0.11796585103357708,,pass,0.476966367770041,,pass,0.9261538781523654,,pass,0.8677994464598217,,pass,0.4601882914847504,,pass,0.9247771681732747,,fail,0.0,,fail,0.0,,pass,0.6184851794674854,,pass,0.051931388427905234,,pass,0.8911595634318141,,pass,0.8840600779978822,,pass,0.07731692102533794,,pass,0.22871520344698898,,pass,0.16076938810136165,
alice,12,34,1048576,0.01,1000,100000.0,128,0.1,window_mean_3x3,perlin,rossler,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,4c4e365d22260205e8a6de9d138ad9316436f9c3815395540ef4d4a9db1b04a6,0.01,8,7,0,23.875008921997505,"block_frequency,discrete_fourier_transform,non_overlapping_template_matching,overlapping_template_matching,serial,approximate_entropy,random_excursions_variant",pass,0.29965103731564335,,fail,0.0031286481451218784,,pass,0.4510343262095933,,pass,0.05336393836097834,,pass,0.4635092661185618,,fail,0.0,,fail,0.0,,fail,0.0,,pass,0.9185936383887965,,pass,0.4963827679486711,,fail,7.27029944045505e-74,,fail,1.2732473683919883e-13,,pass,0.21631333831570232,,pass,0.09262503941534546,,fail,0.005779395003050888,
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,neighborhood3,opensimplex,lorenz,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,6f5d0740c3ea0fb01fe774cc3a1a863207bb92a569520837374723626f860fb4,0.01,13,2,0,23.03481018399907,"non_overlapping_template_matching,overlapping_template_matching",pass,0.8348063716770435,,pass,0.6048977327337887,,pass,0.017137785762295528,,pass,0.23855013469039008,,pass,0.01809496770560326,,pass,0.33196667586678397,,fail,0.0,,fail,0.0,,pass,0.8933518837263649,,pass,0.30532929634979333,,pass,0.5345274382861378,,pass,0.4083442350121543,,pass,0.8360429396777779,,pass,0.2729611441845683,,pass,0.35186544732824987,
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,neighborhood3,opensimplex,rossler,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,ccccbfd975494c993a119f91e4ce79cc8756b68ff992c2f2fca15aa2781f6b49,0.01,11,2,2,21.88380575100018,"non_overlapping_template_matching,overlapping_template_matching",pass,0.5060605929704516,,pass,0.7684634446245278,,pass,0.6631456371591183,,pass,0.9138417557517386,,pass,0.8001390338407783,,pass,0.07486880275278777,,fail,0.0,,fail,0.0,,pass,0.9298678088401164,,pass,0.09331256743739108,,pass,0.9990245189149232,,pass,0.7489415877479025,,pass,0.6136041914558532,,skip,,requires_at_least_500_cycles,skip,,requires_at_least_500_cycles
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,neighborhood3,perlin,lorenz,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,7705c6adc5b804bc28da2f3bd31b685d6137c4bf5cd16c47cf875037e427cc59,0.01,11,4,0,23.156575215994962,"non_overlapping_template_matching,overlapping_template_matching,serial,random_excursions",pass,0.9279217190559751,,pass,0.060323626087114446,,pass,0.03830284629743547,,pass,0.8334929412073993,,pass,0.958953285641478,,pass,0.1596854634556616,,fail,0.0,,fail,0.0,,pass,0.6757495000545978,,pass,0.2746478350378232,,fail,0.005144904958860732,,pass,0.6436096007699378,,pass,0.9344054856938333,,fail,0.006468877454546352,,pass,0.03144132549625115,
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,neighborhood3,perlin,rossler,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,45e19640ddd3068f1e450212ca024f0b0bc6be4bece03c4292f72e8db65d076c,0.01,13,2,0,23.071847796003567,"non_overlapping_template_matching,overlapping_template_matching",pass,0.931214626973866,,pass,0.24330289453948542,,pass,0.08280744398255625,,pass,0.0815001894949595,,pass,0.9527719650574232,,pass,0.9036653815103344,,fail,0.0,,fail,0.0,,pass,0.81114021310056,,pass,0.9168621567524943,,pass,0.4299220949295833,,pass,0.713358148535209,,pass,0.8617438513830711,,pass,0.19325839503484324,,pass,0.07938208802989173,
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,window_mean_3x3,opensimplex,lorenz,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,8b8da750fe2c91131cd3d7d2c58b066b9edf6d09e6088647295920a2dee26b5a,0.01,11,2,2,23.184529862999625,"non_overlapping_template_matching,overlapping_template_matching",pass,0.015156911862686364,,pass,0.2803838043855163,,pass,0.9658224566390803,,pass,0.49380999763657274,,pass,0.6478505734557966,,pass,0.9550253150396081,,fail,0.0,,fail,0.0,,pass,0.2918296765175974,,pass,0.8064011949082678,,pass,0.5428175820105696,,pass,0.5008168458555524,,pass,0.029458710652336517,,skip,,requires_at_least_500_cycles,skip,,requires_at_least_500_cycles
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,window_mean_3x3,opensimplex,rossler,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,d13d95f592bce425b312523fa7d88d14c955c5fbe26d89470069ae39acf83608,0.01,11,2,2,22.9963563420024,"non_overlapping_template_matching,overlapping_template_matching",pass,0.3166942380223261,,pass,0.460083005175737,,pass,0.24699487241231333,,pass,0.8908903447986443,,pass,0.23792942952892185,,pass,0.1659855573365745,,fail,0.0,,fail,0.0,,pass,0.807801877317455,,pass,0.08344574443444773,,pass,0.9132668160854702,,pass,0.9167853893129715,,pass,0.07654073650427495,,skip,,requires_at_least_500_cycles,skip,,requires_at_least_500_cycles
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,window_mean_3x3,perlin,lorenz,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,8944f4d6d7c5ee71b68f554de3e240a90b8db5fb7620d68786e01568d894e844,0.01,13,2,0,22.299506267998368,"non_overlapping_template_matching,overlapping_template_matching",pass,0.19564447143367147,,pass,0.735439688984005,,pass,0.23653666759568337,,pass,0.8397884238572864,,pass,0.9663217118810642,,pass,0.6925368517854922,,fail,0.0,,fail,0.0,,pass,0.685874899980979,,pass,0.3356606536700845,,pass,0.06653296811103478,,pass,0.268900192324387,,pass,0.31964706429618606,,pass,0.41836499753928325,,pass,0.13420521911134115,
alice,12,34,1048576,0.01,1000,10000000.0,128,0.1,window_mean_3x3,perlin,rossler,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,dc632c16c77a359df28be0da6bac643eac73fe24b3dbf5cf95a63d5b34aa47aa,0.01,13,2,0,22.38191732899577,"non_overlapping_template_matching,overlapping_template_matching",pass,0.356960472186157,,pass,0.5570739731457762,,pass,0.7889808826424725,,pass,0.3080828218543129,,pass,0.1918163393418849,,pass,0.9298121685232377,,fail,0.0,,fail,0.0,,pass,0.7368189117702362,,pass,0.15562193644552724,,pass,0.2757350526447282,,pass,0.3301212696312906,,pass,0.39441867088486493,,pass,0.14062518514970873,,pass,0.1408193941546586,
